NefMES,NefAC,NefOPC,NefNPC,VerMES,VerCL,VerNL,VerPN
MGST1,,,ATP1B1,FMNL1,KLHL4,MGST3,HDAC2
RCAN1,,,DYNC1I1,FNDC3B,LAMB2,MMD,HMGB3
TAGLN2,,,CD200,FOLR2,LFNG,MORF4L2,HOXD3
NPC2,,,SNAP25,FPR3,LHFPL6,MRPL49,IL1RAPL1
SERPING1,,,PAK3,FURIN,LMO2,MSRB2,INAVA
C8orf4,,,NDRG4,FXYD5,LRFN3,MYBPC1,JADE3
EMP1,,,KIF5A,GCNT1,LRP10,NANOS1,JPT1
APOE,,,UCHL1,GNA15,LRP5,NDRG2,KAT7
CTSB,,,ENO2,GRN,MAB21L1,NDUFS3,KDM1A
C3,,,KIF5C,HEXA,MCC,NSL1,KIF21B
LGALS3,,,DDAH2,HEXB,MEGF8,NTSR2,KLRC3
MT1E,,,TUBB2A,HFE,MEIS1,ORC4,KLRC4
EMP3,,,LBH,HK3,MEOX2,PARP8,KLRK1
SERPINA3,,,LOC150568,ICAM3,MLC1,PDE6D,LPAR4
ACTN1,,,TCF4,IFI30,MYO5C,PEX11B,LRP6
PRDX6,,,GNG3,IGFBP6,NDP,PEX19,LRRTM4
IGFBP7,,,NFIB,IL15RA,NES,PGBD5,MAP2
SERPINE1,,,DPYSL5,IL1R1,NOS2,PLCL1,MAPT
PLP2,,,CRABP1,IL4R,NPAS3,POPDC3,MARCKS
MGP,,,NFIX,IQGAP1,NPEPL1,PPA1,MARCKSL1
CLIC4,,,CEP170,ITGA4,NR2E1,PPFIA2,MAST1
GFPT2,,,BLCAP,ITGA5,NR2F6,PPP1R1A,MATR3
GSN,,,,ITGAM,OSBPL3,PPP2R5A,MCM10
NNMT,,,,ITGB2,PCSK5,PRPSAP2,MIR9-1HG
TUBA1C,,,,KYNU,PDGFA,REPS2,MLLT11
GJA1,,,,LAIR1,PEPD,RERGL,MMP15
TNFRSF1A,,,,LAMB1,PIPOX,RND1,MMP16
WWTR1,,,,LAPTM5,PLA2G5,ROGDI,MPPED2
,,,,LCP1,PLIN3,S1PR1,MTSS1
,,,,LCP2,PMP22,SAR1A,MVB12B
,,,,LGALS1,POFUT1,SCHIP1,MYB
,,,,LGALS3,POLR1G,SELENOP,MYO10
,,,,LHFPL2,POMT2,SELENOW,MYT1
,,,,LILRB2,PRKD2,SERPINI1,NCALD
,,,,LILRB3,PRPF31,SGK3,NCAM1
,,,,LOX,PTPN14,SH3GL2,NKAIN1
,,,,LRRFIP1,PTPRA,SH3GL3,NKX2-2
,,,,LTBP1,QTRT1,SHTN1,NLGN3
,,,,LTBP2,R3HDM4,SIRT5,NOL4
,,,,LY75,RASGRP1,SLC16A7,NR0B1
,,,,LY96,RBCK1,SLC30A10,NRXN1
,,,,MAFB,RBM42,SLC31A2,NRXN2
,,,,MAN1A1,RFX2,SLCO1A2,OLIG2
,,,,MAN2A1,RFXANK,SNCG,P2RX7
,,,,MAN2B1,RGS12,SNX11,PAFAH1B3
,,,,MAPK13,RGS6,SPAST,PAK3
,,,,MCUB,RIN1,TCEAL1,PAK5
,,,,MFSD1,SARS2,TCEAL2,PCDH11X
,,,,MGAT1,SCAMP4,THTPA,PCDH11Y
,,,,MGST2,SEMA6A,TMEM144,PDE10A
,,,,MRC2,SEMA6D,TPM3,PELI1
,,,,MS4A4A,SEPTIN11,TSNAX,PFN2
,,,,MSR1,SHFL,TTC1,PHLPP1
,,,,MVP,SHOX2,TTPA,PLAAT1
,,,,MYH9,SIPA1L1,UGT8,PLCB4
,,,,MYO1F,SLC12A4,UROS,PODXL2
,,,,MYOF,SLC2A10,USP33,PPM1D
,,,,NCF2,SLC4A4,VIP,PPM1E
,,,,NCF4,SLC6A11,VSX1,PURG
,,,,NOD2,SLC6A9,YPEL5,RAB33A
,,,,NPC2,SMO,ZSCAN31,RAD21
,,,,NRP1,SNTA1,,RALGPS1
,,,,P4HA2,SOCS2,,RALGPS2
,,,,PDPN,SOX9,,RAP2A
,,,,PHF11,SPRY2,,RBPJ
,,,,PIGP,SSH3,,REEP1
,,,,PLA2G15,TBX2,,REXO5
,,,,PLAU,TEAD3,,RNFT2
,,,,PLAUR,TGFB3,,RUFY3
,,,,PLBD1,TGIF2,,SATB1
,,,,PLK3,TLE2,,SCG3
,,,,PLS3,TMED1,,SCN3A
,,,,POLD4,TMEM147,,SEC61A2
,,,,PROCR,TMEM161A,,SEZ6L
,,,,PTGER4,TRIB2,,SLC1A1
,,,,PTPN22,TRIP6,,SLCO5A1
,,,,PTPN6,VAV3,,SORCS3
,,,,PTPRC,VPS16,,SOX10
,,,,PYGL,WSCD1,,SOX11
,,,,RAB11FIP1,ZFHX4,,SOX2
,,,,RAB27A,ZNF112,,SOX4
,,,,RAB32,ZNF134,,SPTBN2
,,,,RABGAP1L,ZNF20,,SRGAP3
,,,,RAC2,ZNF211,,STMN1
,,,,RBKS,ZNF227,,STMN4
,,,,RBM47,ZNF235,,TAF5
,,,,RBMS1,ZNF264,,TMCC1
,,,,RELB,ZNF304,,TMEFF1
,,,,RHOG,ZNF419,,TMEM35A
,,,,RRAS,ZNF446,,TMSB15A
,,,,RUNX2,ZNF45,,TOP2B
,,,,S100A11,ZNF606,,TOPBP1
,,,,S100A13,ZNF671,,TOX3
,,,,S100A4,ZNF8,,TSPAN3
,,,,SAT1,,,TTC3
,,,,SCPEP1,,,TTYH1
,,,,SEC24D,,,VAX2
,,,,SERPINA1,,,VEZF1
,,,,SERPINE1,,,WASF1
,,,,SFT2D2,,,YPEL1
,,,,SH2B3,,,ZC4H2
,,,,SHC1,,,ZEB2
,,,,SIGLEC7,,,ZFP69B
,,,,SIGLEC9,,,ZNF184
,,,,SLAMF8,,,ZNF248
,,,,SLC10A3,,,ZNF286A
,,,,SLC11A1,,,ZNF510
,,,,SLC16A3,,,ZNF711
,,,,SP100,,,ZNF804A
,,,,SQOR,,,ZNF821
,,,,SRPX2,,,
,,,,ST14,,,
,,,,STAB1,,,
,,,,STAT6,,,
,,,,STXBP2,,,
,,,,SWAP70,,,
,,,,SYNGR2,,,
,,,,SYPL1,,,
,,,,TCIRG1,,,
,,,,TEC,,,
,,,,TES,,,
,,,,TGFBI,,,
,,,,TGFBR2,,,
,,,,TGOLN2,,,
,,,,THBD,,,
,,,,THBS1,,,
,,,,THEMIS2,,,
,,,,TIMP1,,,
,,,,TLR2,,,
,,,,TLR4,,,
,,,,TMBIM1,,,
,,,,TNFAIP3,,,
,,,,TNFAIP8,,,
,,,,TNFRSF11A,,,
,,,,TNFRSF1A,,,
,,,,TNFRSF1B,,,
,,,,TRADD,,,
,,,,TRIM22,,,
,,,,TRIM38,,,
,,,,TRPM2,,,
,,,,TYMP,,,
,,,,UAP1,,,
,,,,UCP2,,,
,,,,VAMP5,,,
,,,,VDR,,,
,,,,WIPF1,,,
,,,,WWTR1,,,
,,,,YAP1,,,
,,,,ZNF217,,,
